City,Temperature (�C),Feels Like (�C),Humidity (%),Weather,Wind Speed (m/s),Country,Date/Time
Jaipur,31.58,30.46,31,scattered clouds,5.6,IN,5/12/2025 19:54
Jodhpur,36.26,36.07,28,clear sky,5.39,IN,5/12/2025 19:55
Russia,0.68,-2.63,73,overcast clouds,2.94,RU,5/12/2025 19:55
Japan,16.42,16.26,82,overcast clouds,3.51,JP,5/12/2025 19:55
China,24.88,24.7,49,clear sky,3.65,MX,5/12/2025 19:55
Tiruvallur,31.53,34.44,54,clear sky,4.82,IN,5/12/2025 19:55
Mumbai,30.42,36.63,72,clear sky,2.52,IN,5/12/2025 19:55
Mumbai,30.42,36.63,72,clear sky,2.52,IN,5/12/2025 19:55
Udaipur,21.45,21.66,77,broken clouds,5.91,IN,5/12/2025 19:55
Puducherry,29.99,36.99,80,few clouds,6.66,IN,5/12/2025 19:55
Odisha,32.14,32.86,42,broken clouds,2.94,IN,5/12/2025 19:55
Kampala,23.92,24.04,64,overcast clouds,3.01,UG,5/12/2025 19:56
Puri,29.8,36.8,81,clear sky,7.73,IN,5/12/2025 19:56
Pune,28.23,29.56,58,broken clouds,3.09,IN,5/12/2025 19:56
Dakar,21.24,21.61,84,clear sky,6.21,SN,5/12/2025 19:56
Bamako,40.92,39.41,16,broken clouds,3.15,ML,5/12/2025 19:56
Himachal Pradesh,17.01,16.83,79,clear sky,1.45,IN,5/12/2025 19:56
Pakistan,27.83,26.49,12,clear sky,2.54,PK,5/12/2025 19:56
Kigali,18.18,18.66,100,light rain,2.24,RW,5/12/2025 19:56
Mangalore,29.6,34.53,72,broken clouds,2.89,IN,5/12/2025 19:56
Casablanca,20.74,20.23,52,clear sky,4.92,MA,5/12/2025 19:56
Sanaa,24.87,24.14,28,broken clouds,5.31,YE,5/12/2025 19:56
Shana,41.38,37.93,8,clear sky,4.31,NG,5/12/2025 19:57
Prague,17.08,15.68,32,clear sky,3.13,CZ,5/12/2025 19:57
Iraq,39.56,36.42,9,broken clouds,6.78,IQ,5/12/2025 19:57
Iran,31.56,29.5,6,clear sky,2.57,IR,5/12/2025 19:57
Gujarat,36.23,38.25,36,few clouds,2.45,IN,5/12/2025 19:57
Jansi,18.68,18.69,80,overcast clouds,3.32,IN,5/12/2025 19:57
New Delhi,37.88,35.58,15,overcast clouds,4.18,IN,5/12/2025 19:57
Ghana,38.4,40.15,30,overcast clouds,2.54,GH,5/12/2025 19:58
Cambodia,27.33,29.83,74,overcast clouds,0.45,KH,5/12/2025 19:58
Chennai,32.53,39.53,72,clear sky,0.45,IN,2025-05-12 20:04:13
Madurai,28.03,30.21,66,overcast clouds,4.58,IN,2025-05-12 20:04:19
Cambodia,26.84,29.06,76,overcast clouds,0.47,KH,2025-05-12 20:04:33
Virudhunagar,29.48,32.41,63,broken clouds,5.38,IN,2025-05-12 20:04:41
Tenkasi,26.73,29.31,82,scattered clouds,4.34,IN,2025-05-12 20:04:44
Madurai,28.03,30.21,66,overcast clouds,4.58,IN,2025-05-12 20:04:48
Tirunelveli,31.1,34.56,58,scattered clouds,4.7,IN,2025-05-12 20:04:55
Tirunelveli,30.5,33.59,59,scattered clouds,5.08,IN,2025-05-12 21:55:27
